q_bits,n,m,rho,mode,N,Q_bits,rate,entropy_target,delta_entropy,volume_grid_t,delta_volume_grid
64,65536,4,0.0625,folded,16384,256,0.0625,0.9374847412109375,0.9361466352891494,15337,0.93609619140625
64,65536,4,0.0625,interleaved,65536,256,0.0625,0.9374961853027344,0.9361582552250832,61352,0.9361572265625
64,65536,8,0.5,folded,8192,512,0.5,0.4999847412109375,0.49803163804555656,4079,0.4979248046875
64,65536,8,0.5,interleaved,65536,512,0.5,0.4999980926513672,0.49804498919078727,32639,0.4980316162109375
64,65536,8,0.25,folded,8192,512,0.25,0.7499847412109375,0.7483952652818032,6130,0.748291015625
64,65536,8,0.25,interleaved,65536,512,0.25,0.7499980926513672,0.7484086578597506,49047,0.7483978271484375
64,65536,8,0.125,folded,8192,512,0.125,0.8749847412109375,0.8739171696908875,7159,0.8739013671875
64,65536,8,0.125,interleaved,65536,512,0.125,0.8749980926513672,0.8739305943695629,57273,0.8739166259765625
64,65536,8,0.0625,folded,8192,512,0.0625,0.9374847412109375,0.9368207998689506,7674,0.936767578125
64,65536,8,0.0625,interleaved,65536,512,0.0625,0.9374980926513672,0.9368342535366408,61396,0.93682861328125
64,1048576,1,0.5,folded,1048576,64,0.5,0.4999990463256836,0.48438504086107986,507914,0.48438453674316406
64,1048576,1,0.5,interleaved,1048576,64,0.5,0.4999990463256836,0.48438504086107986,507914,0.48438453674316406
64,1048576,1,0.25,folded,1048576,64,0.25,0.7499990463256836,0.7370111849804128,772812,0.7370109558105469
64,1048576,1,0.25,interleaved,1048576,64,0.25,0.7499990463256836,0.7370111849804128,772812,0.7370109558105469
64,1048576,1,0.125,folded,1048576,64,0.125,0.8749990463256836,0.8661244869951342,908197,0.866124153137207
64,1048576,1,0.125,interleaved,1048576,64,0.125,0.8749990463256836,0.8661244869951342,908197,0.866124153137207
64,1048576,1,0.0625,folded,1048576,64,0.0625,0.9374990463256836,0.9318924630376993,977160,0.9318923950195312
64,1048576,1,0.0625,interleaved,1048576,64,0.0625,0.9374990463256836,0.9318924630376993,977160,0.9318923950195312
64,1048576,2,0.5,folded,524288,128,0.5,0.4999990463256836,0.4921879220942016,258048,0.4921875
64,1048576,2,0.5,interleaved,1048576,128,0.5,0.4999995231628418,0.49218839876346765,516097,0.4921884536743164
64,1048576,2,0.25,folded,524288,128,0.25,0.7499990463256836,0.7435827044977524,389851,0.7435817718505859
64,1048576,2,0.25,interleaved,1048576,128,0.25,0.7499995231628418,0.7435831871264607,779703,0.7435827255249023
64,1048576,2,0.125,folded,524288,128,0.125,0.8749990463256836,0.8706581842532158,456475,0.8706569671630859
64,1048576,2,0.125,interleaved,1048576,128,0.125,0.8749995231628418,0.8706586715634351,912951,0.8706579208374023
64,1048576,2,0.0625,folded,524288,128,0.0625,0.9374990463256836,0.9347816994003768,490094,0.9347801208496094
64,1048576,2,0.0625,interleaved,1048576,128,0.0625,0.9374995231628418,0.9347821909901699,980190,0.9347820281982422
64,1048576,4,0.5,folded,262144,256,0.5,0.4999990463256836,0.49609296837891803,130047,0.4960899353027344
64,1048576,4,0.5,interleaved,1048576,256,0.5,0.4999997615814209,0.49609368357167083,520191,0.4960927963256836
64,1048576,4,0.25,folded,262144,256,0.25,0.7499990463256836,0.7468103959436915,195771,0.7468070983886719
64,1048576,4,0.25,interleaved,1048576,256,0.25,0.7499997615814209,0.7468111155862308,783088,0.7468109130859375
64,1048576,4,0.125,folded,262144,256,0.125,0.8749990463256836,0.8728523139522031,228813,0.8728523254394531
64,1048576,4,0.125,interleaved,1048576,256,0.125,0.8749997615814209,0.8728530370582653,915252,0.8728523254394531
64,1048576,4,0.0625,folded,262144,256,0.0625,0.9374990463256836,0.9361611602110864,245409,0.9361610412597656
64,1048576,4,0.0625,interleaved,1048576,256,0.0625,0.9374997615814209,0.9361618864577135,981636,0.9361610412597656
64,1048576,8,0.5,folded,131072,512,0.5,0.4999990463256836,0.4980459428440949,65279,0.49803924560546875
64,1048576,8,0.5,interleaved,1048576,512,0.5,0.49999988079071045,0.4980467772907475,522239,0.4980459213256836
64,1048576,8,0.25,folded,131072,512,0.25,0.7499990463256836,0.7484096144725643,98095,0.7484054565429688
64,1048576,8,0.25,interleaved,1048576,512,0.25,0.7499998807907104,0.7484104515087874,784765,0.7484102249145508
64,1048576,8,0.125,folded,131072,512,0.125,0.8749990463256836,0.8739315532753599,114547,0.8739242553710938
64,1048576,8,0.125,interleaved,1048576,512,0.125,0.8749998807907104,0.8739323923179516,916384,0.873931884765625
64,1048576,8,0.0625,folded,131072,512,0.0625,0.9374990463256836,0.9368352145132368,122792,0.93682861328125
64,1048576,8,0.0625,interleaved,1048576,512,0.0625,0.9374998807907104,0.9368360553677946,982343,0.9368352890014648
64,16777216,1,0.5,folded,16777216,64,0.5,0.4999999403953552,0.4843859336733199,8126647,0.4843859076499939
64,16777216,1,0.5,interleaved,16777216,64,0.5,0.4999999403953552,0.4843859336733199,8126647,0.4843859076499939
64,16777216,1,0.25,folded,16777216,64,0.25,0.7499999403953552,0.7370121003128052,12365011,0.7370120882987976
64,16777216,1,0.25,interleaved,16777216,64,0.25,0.7499999403953552,0.7370121003128052,12365011,0.7370120882987976
64,16777216,1,0.125,folded,16777216,64,0.125,0.8749999403953552,0.8661254203486048,14531173,0.8661254048347473
64,16777216,1,0.125,interleaved,16777216,64,0.125,0.8749999403953552,0.8661254203486048,14531173,0.8661254048347473
64,16777216,1,0.0625,folded,16777216,64,0.0625,0.9374999403953552,0.9318934131378642,15634577,0.9318934082984924
64,16777216,1,0.0625,interleaved,16777216,64,0.0625,0.9374999403953552,0.9318934131378642,15634577,0.9318934082984924
64,16777216,2,0.5,folded,8388608,128,0.5,0.4999999403953552,0.49218881584908386,4128779,0.49218881130218506
64,16777216,2,0.5,interleaved,16777216,128,0.5,0.4999999701976776,0.4921888456409139,8257558,0.49218881130218506
64,16777216,2,0.25,folded,8388608,128,0.25,0.7499999403953552,0.7435836094265917,6237631,0.7435835599899292
64,16777216,2,0.25,interleaved,16777216,128,0.25,0.7499999701976776,0.7435836395908872,12475263,0.743583619594574
64,16777216,2,0.125,folded,8388608,128,0.125,0.8749999403953552,0.8706590979598969,7303617,0.8706589937210083
64,16777216,2,0.125,interleaved,16777216,128,0.125,0.8749999701976776,0.8706591284167877,14607236,0.8706591129302979
64,16777216,2,0.0625,folded,8388608,128,0.0625,0.9374999403953552,0.9347826211312765,7841525,0.9347826242446899
64,16777216,2,0.0625,interleaved,16777216,128,0.0625,0.9374999701976776,0.9347826518556427,15683050,0.9347826242446899
64,16777216,4,0.5,folded,4194304,256,0.5,0.4999999403953552,0.4960938623698608,2080768,0.49609375
64,16777216,4,0.5,interleaved,16777216,256,0.5,0.4999999850988388,0.4960939070694084,8323074,0.49609386920928955
64,16777216,4,0.25,folded,4194304,256,0.25,0.7499999403953552,0.7468112954968681,3132353,0.7468111515045166
64,16777216,4,0.25,interleaved,16777216,256,0.25,0.7499999850988388,0.7468113404745276,12529415,0.7468113303184509
64,16777216,4,0.125,folded,4194304,256,0.125,0.8749999403953552,0.8728532178347851,3661011,0.8728530406951904
64,16777216,4,0.125,interleaved,16777216,256,0.125,0.8749999850988388,0.8728532630289153,14644047,0.8728532195091248
64,16777216,4,0.0625,folded,4194304,256,0.0625,0.9374999403953552,0.9361620680193782,3926548,0.936161994934082
64,16777216,4,0.0625,interleaved,16777216,256,0.0625,0.9374999850988388,0.9361621134097948,15706194,0.9361621141433716
64,16777216,8,0.5,folded,2097152,512,0.5,0.4999999403953552,0.49804683689408014,1044479,0.4980463981628418
64,16777216,8,0.5,interleaved,16777216,512,0.5,0.4999999925494194,0.49804688904699623,8355840,0.498046875
64,16777216,8,0.25,folded,2097152,512,0.25,0.7499999403953552,0.7484105112970895,1569530,0.7484102249145508
64,16777216,8,0.25,interleaved,16777216,512,0.25,0.7499999925494194,0.7484105636118538,12556245,0.7484105229377747
64,16777216,8,0.125,folded,2097152,512,0.125,0.8749999403953552,0.8739324522495661,1832769,0.8739323616027832
64,16777216,8,0.125,interleaved,16777216,512,0.125,0.8749999925494194,0.8739325046897287,14662154,0.8739324808120728
64,16777216,8,0.0625,folded,2097152,512,0.0625,0.9374999403953552,0.9368361154288357,1964687,0.936835765838623
64,16777216,8,0.0625,interleaved,16777216,512,0.0625,0.9374999925494194,0.9368361679822468,15717502,0.9368361234664917
128,1024,1,0.5,folded,1024,128,0.5,0.5,0.492188875432744,504,0.4921875
128,1024,1,0.5,interleaved,1024,128,0.5,0.5,0.492188875432744,504,0.4921875
128,1024,1,0.25,folded,1024,128,0.25,0.75,0.7435836697551828,761,0.7431640625
128,1024,1,0.25,interleaved,1024,128,0.25,0.75,0.7435836697551828,761,0.7431640625
128,1024,1,0.125,folded,1024,128,0.125,0.875,0.8706591588736786,891,0.8701171875
128,1024,1,0.125,interleaved,1024,128,0.125,0.875,0.8706591588736786,891,0.8701171875
128,1024,1,0.0625,folded,1024,128,0.0625,0.9375,0.934782682580009,957,0.9345703125
128,1024,1,0.0625,interleaved,1024,128,0.0625,0.9375,0.934782682580009,957,0.9345703125
128,1024,2,0.5,folded,512,256,0.5,0.5,0.49609392196925767,254,0.49609375
128,1024,2,0.5,interleaved,1024,256,0.5,0.5,0.49609392196925767,508,0.49609375
128,1024,2,0.25,folded,512,256,0.25,0.75,0.7468113554670807,382,0.74609375
128,1024,2,0.25,interleaved,1024,256,0.25,0.75,0.7468113554670807,764,0.74609375
128,1024,2,0.125,folded,512,256,0.125,0.875,0.8728532780936253,446,0.87109375
128,1024,2,0.125,interleaved,1024,256,0.125,0.875,0.8728532780936253,893,0.8720703125
128,1024,2,0.0625,folded,512,256,0.0625,0.9375,0.9361621285399337,479,0.935546875
128,1024,2,0.0625,interleaved,1024,256,0.0625,0.9375,0.9361621285399337,958,0.935546875
128,1024,4,0.5,folded,256,512,0.5,0.5,0.4980468964974128,127,0.49609375
128,1024,4,0.5,interleaved,1024,512,0.5,0.5,0.4980468964974128,510,0.498046875
128,1024,4,0.25,folded,256,512,0.25,0.75,0.7484105710853916,191,0.74609375
128,1024,4,0.25,interleaved,1024,512,0.25,0.75,0.7484105710853916,766,0.748046875
128,1024,4,0.125,folded,256,512,0.125,0.875,0.8739325121811805,223,0.87109375
128,1024,4,0.125,interleaved,1024,512,0.125,0.875,0.8739325121811805,894,0.873046875
128,1024,4,0.0625,folded,256,512,0.0625,0.9375,0.936836175489877,239,0.93359375
128,1024,4,0.0625,interleaved,1024,512,0.0625,0.9375,0.936836175489877,959,0.9365234375
128,1024,8,0.5,folded,128,1024,0.5,0.5,0.4990234401872159,63,0.4921875
128,1024,8,0.5,interleaved,1024,1024,0.5,0.5,0.4990234401872159,511,0.4990234375
128,1024,8,0.25,folded,128,1024,0.25,0.75,0.7492065103953666,95,0.7421875
128,1024,8,0.25,interleaved,1024,1024,0.25,0.75,0.7492065103953666,767,0.7490234375
128,1024,8,0.125,folded,128,1024,0.125,0.875,0.874467717888966,111,0.8671875
128,1024,8,0.125,interleaved,1024,1024,0.125,0.875,0.874467717888966,895,0.8740234375
128,1024,8,0.0625,folded,128,1024,0.0625,0.9375,0.9371693549639705,119,0.9296875
128,1024,8,0.0625,interleaved,1024,1024,0.0625,0.9375,0.9371693549639705,959,0.9365234375
128,65536,1,0.5,folded,65536,128,0.5,0.5,0.492188875432744,32256,0.4921875
128,65536,1,0.5,interleaved,65536,128,0.5,0.5,0.492188875432744,32256,0.4921875
128,65536,1,0.25,folded,65536,128,0.25,0.75,0.7435836697551828,48731,0.7435760498046875
128,65536,1,0.25,interleaved,65536,128,0.25,0.75,0.7435836697551828,48731,0.7435760498046875
128,65536,1,0.125,folded,65536,128,0.125,0.875,0.8706591588736786,57059,0.8706512451171875
128,65536,1,0.125,interleaved,65536,128,0.125,0.875,0.8706591588736786,57059,0.8706512451171875
128,65536,1,0.0625,folded,65536,128,0.0625,0.9375,0.934782682580009,61261,0.9347686767578125
128,65536,1,0.0625,interleaved,65536,128,0.0625,0.9375,0.934782682580009,61261,0.9347686767578125
128,65536,2,0.5,folded,32768,256,0.5,0.5,0.49609392196925767,16256,0.49609375
128,65536,2,0.5,interleaved,65536,256,0.5,0.5,0.49609392196925767,32512,0.49609375
128,65536,2,0.25,folded,32768,256,0.25,0.75,0.7468113554670807,24471,0.746795654296875
128,65536,2,0.25,interleaved,65536,256,0.25,0.75,0.7468113554670807,48943,0.7468109130859375
128,65536,2,0.125,folded,32768,256,0.125,0.875,0.8728532780936253,28601,0.872833251953125
128,65536,2,0.125,interleaved,65536,256,0.125,0.875,0.8728532780936253,57203,0.8728485107421875
128,65536,2,0.0625,folded,32768,256,0.0625,0.9375,0.9361621285399337,30676,0.9361572265625
128,65536,2,0.0625,interleaved,65536,256,0.0625,0.9375,0.9361621285399337,61352,0.9361572265625
128,65536,4,0.5,folded,16384,512,0.5,0.5,0.4980468964974128,8160,0.498046875
128,65536,4,0.5,interleaved,65536,512,0.5,0.5,0.4980468964974128,32640,0.498046875
128,65536,4,0.25,folded,16384,512,0.25,0.75,0.7484105710853916,12261,0.74835205078125
128,65536,4,0.25,interleaved,65536,512,0.25,0.75,0.7484105710853916,49047,0.7483978271484375
128,65536,4,0.125,folded,16384,512,0.125,0.875,0.8739325121811805,14318,0.8739013671875
128,65536,4,0.125,interleaved,65536,512,0.125,0.875,0.8739325121811805,57274,0.873931884765625
128,65536,4,0.0625,folded,16384,512,0.0625,0.9375,0.936836175489877,15349,0.93682861328125
128,65536,4,0.0625,interleaved,65536,512,0.0625,0.9375,0.936836175489877,61396,0.93682861328125
128,65536,8,0.5,folded,8192,1024,0.5,0.5,0.4990234401872159,4088,0.4990234375
