p,n,k,radius_label,agreement_required,center_type,smooth_best_count,random_mean_best_count,random_max_best_count,smooth_over_random_mean,smooth_over_random_max,random_domains
97,8,2,agreement-k+3,5,trinomial,0,0.0,0,0.0,0.0,10
97,8,2,agreement-k+4,6,trinomial,0,0.0,0,0.0,0.0,10
97,12,1,agreement-k+3,4,trinomial,0,0.0,0,0.0,0.0,10
97,12,1,agreement-k+4,5,binomial,0,0.0,0,0.0,0.0,10
97,12,1,agreement-k+4,5,shifted_binomial,0,0.0,0,0.0,0.0,10
97,12,1,agreement-k+4,5,trinomial,0,0.0,0,0.0,0.0,10
97,16,2,agreement-k+3,5,trinomial,0,0.0,0,0.0,0.0,10
97,16,2,agreement-k+4,6,trinomial,0,0.0,0,0.0,0.0,10
193,3,1,agreement-k+2,3,trinomial,0,0.0,0,0.0,0.0,10
193,4,1,agreement-k+3,4,trinomial,0,0.0,0,0.0,0.0,10
193,6,1,agreement-k+4,5,binomial,0,0.0,0,0.0,0.0,10
193,6,1,agreement-k+4,5,shifted_binomial,0,0.0,0,0.0,0.0,10
193,6,1,agreement-k+4,5,trinomial,0,0.0,0,0.0,0.0,10
193,8,1,agreement-k+3,4,trinomial,0,0.0,0,0.0,0.0,10
193,8,1,agreement-k+4,5,binomial,0,0.0,0,0.0,0.0,10
193,8,1,agreement-k+4,5,shifted_binomial,0,0.0,0,0.0,0.0,10
193,8,1,agreement-k+4,5,trinomial,0,0.0,0,0.0,0.0,10
193,8,2,agreement-k+3,5,trinomial,0,0.0,0,0.0,0.0,10
193,8,2,agreement-k+4,6,trinomial,0,0.0,0,0.0,0.0,10
193,12,1,agreement-k+3,4,trinomial,0,0.0,0,0.0,0.0,10
193,12,1,agreement-k+4,5,binomial,0,0.0,0,0.0,0.0,10
193,12,1,agreement-k+4,5,shifted_binomial,0,0.0,0,0.0,0.0,10
193,12,1,agreement-k+4,5,trinomial,0,0.0,0,0.0,0.0,10
193,16,2,agreement-k+2,4,trinomial,0,0.0,0,0.0,0.0,10
193,16,2,agreement-k+3,5,trinomial,0,0.0,0,0.0,0.0,10
193,16,2,agreement-k+4,6,trinomial,0,0.0,0,0.0,0.0,10
