p,n,k,rho,m,mode,N,search_alphabet_size,ambient_alphabet_size,code_size,radius,max_list,num_centers,johnson_radius,volume_grid,capacity_entropy,best_center,status
7,3,1,0.3333333333333333,1,scalar,3,7,7,7,3,7,343,0.42264973081037427,1.0,0.8571428571428571,"(0, 0, 0)",ok
7,3,1,0.3333333333333333,2,interleaved,3,49,49,49,,,,0.42264973081037427,0.6666666666666666,0.6748541290556571,,"refused: search would require 5764801 center/codeword distance checks, exceeding max_operations=5000000"
7,3,2,0.6666666666666666,1,scalar,3,7,7,49,0,1,49,0.18350341907227397,0.3333333333333333,0.35950250431231073,"(0, 0, 0)",ok
7,3,2,0.6666666666666666,1,scalar,3,7,7,49,1,3,294,0.18350341907227397,0.3333333333333333,0.35950250431231073,"(0, 0, 1)",ok
7,3,2,0.6666666666666666,1,scalar,3,7,7,49,2,19,49,0.18350341907227397,0.3333333333333333,0.35950250431231073,"(0, 0, 0)",ok
7,3,2,0.6666666666666666,1,scalar,3,7,7,49,3,49,343,0.18350341907227397,0.3333333333333333,0.35950250431231073,"(0, 0, 0)",ok
7,3,2,0.6666666666666666,2,interleaved,3,49,49,2401,,,,0.18350341907227397,0.3333333333333333,0.3375036316505343,,"refused: search would require 282475249 center/codeword distance checks, exceeding max_operations=5000000"
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,0,1,7,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 0, 0, 0, 0)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,1,1,259,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 0, 0, 0, 0)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,2,1,4039,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 0, 0, 0, 0)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,3,2,420,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 0, 1, 1, 1)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,4,3,3150,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 1, 1, 2, 2)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,5,6,5040,0.591751709536137,1.0,0.8571428571428571,"(0, 1, 2, 3, 4, 5)",ok
7,6,1,0.16666666666666666,1,scalar,6,7,7,7,6,7,117649,0.591751709536137,1.0,0.8571428571428571,"(0, 0, 0, 0, 0, 0)",ok
7,6,1,0.16666666666666666,2,folded,3,7,49,7,0,1,7,0.591751709536137,1.0,0.9795918367346939,"((0, 0), (0, 0), (0, 0))",ok
7,6,1,0.16666666666666666,2,folded,3,7,49,7,1,1,133,0.591751709536137,1.0,0.9795918367346939,"((0, 0), (0, 0), (0, 0))",ok
7,6,1,0.16666666666666666,2,folded,3,7,49,7,2,3,210,0.591751709536137,1.0,0.9795918367346939,"((0, 0), (1, 1), (2, 2))",ok
7,6,1,0.16666666666666666,2,folded,3,7,49,7,3,7,343,0.591751709536137,1.0,0.9795918367346939,"((0, 0), (0, 0), (0, 0))",ok
